protected_idx,original_idx,similarity,protected_id,original_id,confidence,ml_match_probability,ml_refined,distance_refined,refinement_skipped,refinement_distance,refinement_reason
19670,4780,0.9999951287728367,a8a814e6a024b02eec9fa1512ae5e0d3,4780,high,1.0,False,False,True,,High confidence
777,15634,0.9999949064331486,a498c2a953948399b2b52640e6781161,15634,high,1.0,False,False,True,,High confidence
9006,4549,0.9999899321746468,df0722b144124fc1e82907c2030ed323,4549,high,1.0,False,False,True,,High confidence
6705,18090,0.9999896433069013,36a8954636f34e71119ed1c4e7eea960,18090,high,1.0,False,False,True,,High confidence
6334,10257,0.9999891318066392,2ce8960e03bed4d24c6f9992d1df697c,10257,high,1.0,False,False,True,,High confidence
15363,4591,0.9999887030650714,38091f7e2746ca53cfc884d9565fad64,4591,high,1.0,False,False,True,,High confidence
7828,10588,0.9999886463560923,051c6d6255638cb0e26221306e3f3697,10588,high,1.0,False,False,True,,High confidence
7878,14018,0.9999879893965873,8eb420e70541026ccdc2902688501071,14018,high,1.0,False,False,True,,High confidence
6199,4369,0.9999866436492943,1f6146d273e7dd7adf77ef28fde4afc0,4369,high,1.0,False,False,True,,High confidence
4783,13530,0.9999863920286524,28e526b566468bae9a310a781c30814a,13530,high,1.0,False,False,True,,High confidence
42,6517,0.9999850602131766,db6fcff9ad573f576e45c62351b23909,6517,high,1.0,False,False,True,,High confidence
17707,1171,0.9999838422862602,aff37008595a66427db43fef9a94c468,1171,high,1.0,False,False,True,,High confidence
17220,6207,0.9999838415650644,609afb2a2c7cf65aaf6f80699be22679,6207,high,1.0,False,False,True,,High confidence
9060,8000,0.9999837224811589,87a5bd114b2e324da338100c2fc743cb,8000,high,1.0,False,False,True,,High confidence
8781,6277,0.9999831974028361,d27cfcc8fbfdbbe388466583abfe6f1c,6277,high,1.0,False,False,True,,High confidence
5010,8985,0.9999828731792014,4f5ce15869919ff26fa75a5859b1b1a7,8985,high,1.0,False,False,True,,High confidence
3477,11644,0.9999826991640844,98fc1e1996d3440b805d25903a0db644,11644,high,1.0,False,False,True,,High confidence
3039,10838,0.9999822020636746,35894613b5df4bcc4a6d84b43b38930e,10838,high,1.0,False,False,True,,High confidence
7075,962,0.9999819415294755,db884589d5a1da7acad504a71df9372c,962,high,1.0,False,False,True,,High confidence
5742,2977,0.9999811657176926,93ff05836c51135277d0610a71da5b74,2977,high,1.0,False,False,True,,High confidence
118,7571,0.9999795778013185,0cf26f8b23bbbee15f381336a0d1fc2a,7571,high,1.0,False,False,True,,High confidence
15647,14442,0.9999795670255532,bb44be0833dc84cfc38d335d49bace81,14442,high,1.0,False,False,True,,High confidence
7376,12371,0.9999789979128116,9c803c66b3065a0609b6e9c233f3f7eb,12371,high,1.0,False,False,True,,High confidence
14461,18694,0.999978316629268,cc134f5f22b092922bcbce4ed76b4843,18694,high,1.0,False,False,True,,High confidence
1858,15017,0.9999780407372173,da49fe98ea1884a01cdd3f8d225b529c,15017,high,1.0,False,False,True,,High confidence
9642,656,0.9999778796929115,26c28c3485bd03383848b71a4b383ff9,656,high,1.0,False,False,True,,High confidence
19013,3600,0.9999777269777694,2e12a2c9513560f17f988a2599f1b0cb,3600,high,1.0,False,False,True,,High confidence
4381,10575,0.9999776518556629,da9d001d518a257dcb5e6bb08f79c033,10575,high,1.0,False,False,True,,High confidence
14019,12940,0.9999775701714342,406fc2961a0bf381ec34cf5fa303d3ad,12940,high,1.0,False,False,True,,High confidence
6594,17000,0.9999772518313057,fb3d42ca605d33e318bf81553d1557e7,17000,high,1.0,False,False,True,,High confidence
4641,12548,0.9999771205896513,d873c07e700d8ab1acc23b713458f6c4,12548,high,1.0,False,False,True,,High confidence
4476,1921,0.9999768605098734,adf8334386d88ec0c4c35ccce6bca9f1,1921,high,1.0,False,False,True,,High confidence
6275,5339,0.9999764224201919,2b58811315836696d5c616e299e9b538,5339,high,1.0,False,False,True,,High confidence
6952,15389,0.9999764030163444,b044ebd9a1e6d1951641c27caa4181cc,15389,high,1.0,False,False,True,,High confidence
6522,11038,0.9999762344848768,c587880fce3c2292dc624d60af007354,11038,high,1.0,False,False,True,,High confidence
6012,1180,0.999976006933098,24885ff825ee7734cbeede75e50276ce,1180,high,1.0,False,False,True,,High confidence
16632,18372,0.9999758919085258,ae477c2cadd7b94410b87068478837c3,18372,high,1.0,False,False,True,,High confidence
105,2712,0.9999758429761996,6884cd05602acf7a1c82b9d0e6a3a062,2712,high,1.0,False,False,True,,High confidence
10371,16915,0.9999756889311716,a63cd42621eb9d426a1452c24e28bc90,16915,high,1.0,False,False,True,,High confidence
11441,15511,0.9999754962088583,69600794f4fd9a2d2d4e1efa4236e9a8,15511,high,1.0,False,False,True,,High confidence
11645,4055,0.9999754214304575,e4c332a2ce05d8d06bb58d0e177ec69a,4055,high,1.0,False,False,True,,High confidence
4908,12285,0.9999753377611987,3b1a3a00a8e033731f51d9493110d84d,12285,high,1.0,False,False,True,,High confidence
1223,42,0.9999747709954111,604ed977e3ce9a1c2bbd7aa23fcb68ce,42,high,1.0,False,False,True,,High confidence
17889,9951,0.9999747421088689,f2f1b8ef25922ebdc6d33765399bbaf7,9951,high,1.0,False,False,True,,High confidence
4414,14877,0.9999746168171015,a9d725a8afb90a14fe32cd75e5e2eed1,14877,high,1.0,False,False,True,,High confidence
19297,19656,0.9999746147521543,dbe9dddc8dac81b937f15200210bbbd0,19656,high,1.0,False,False,True,,High confidence
5904,11976,0.9999740708770152,bfd998356c251cca2327e3ca19c2830d,11976,high,1.0,False,False,True,,High confidence
13787,13135,0.9999739886943964,f11c59fb5c39639d8f9f6f2cb7f076ba,13135,high,1.0,False,False,True,,High confidence
17222,17634,0.9999738371454631,be65215d9e7aefe60c887f3133e20b93,17634,high,1.0,False,False,True,,High confidence
2918,4373,0.9999738074615688,b1d753381146a3f52441f10a2ebd31e5,4373,high,1.0,False,False,True,,High confidence
18972,12342,0.9999736341249824,2582a7729c11df28cacf80367fdc6600,12342,high,1.0,False,False,True,,High confidence
12452,19821,0.9999735133640106,0cbea15cd085ae20670ef6dedab9c2c4,19821,high,1.0,False,False,True,,High confidence
18417,18517,0.9999734696907783,269963bf431f105bbfe07e5bf8f0a2ce,18517,high,1.0,False,False,True,,High confidence
17387,3311,0.9999734289736221,f0f40777932f08ab2989aa557301fc91,3311,high,1.0,False,False,True,,High confidence
12505,4934,0.9999733694851067,c6811556af1d733eb5eebf43146a4fc0,4934,high,1.0,False,False,True,,High confidence
16253,6111,0.999973285848139,8545cd2918795f0250bf9f841f1cf362,6111,high,1.0,False,False,True,,High confidence
11655,15211,0.999972940338022,5ad08b6b5a5c46dc0cb071a0945a69c1,15211,high,1.0,False,False,True,,High confidence
1603,14897,0.9999728762087998,40711f28637c9159fd988ffc2a23ed30,14897,high,1.0,False,False,True,,High confidence
2837,18556,0.9999728734330916,de4090812e185baf526a03e76b5ec913,18556,high,1.0,False,False,True,,High confidence
8504,12055,0.9999726818665231,cbfa1a38c9f6a66dca84dd0c218aef05,12055,high,1.0,False,False,True,,High confidence
3861,13720,0.9999724951818088,868ff43af481ca67055b2ad744c94c0f,13720,high,1.0,False,False,True,,High confidence
7131,15719,0.9999715544833857,d9022c7442fb2dd8ab7f190f58638704,15719,high,1.0,False,False,True,,High confidence
9206,10444,0.9999714921740263,ee1eb30376effe0055e82b9cec3ecd88,10444,high,1.0,False,False,True,,High confidence
15556,4005,0.9999714449426841,c7adeb7c2f8273d7c80b7387aff2945d,4005,high,1.0,False,False,True,,High confidence
5158,13498,0.9999711854056477,511caccbb072f06bb62000c3557795ee,13498,high,1.0,False,False,True,,High confidence
3948,15418,0.9999711161852064,23efc4e13a0aeac30642f22c95bb691c,15418,high,1.0,False,False,True,,High confidence
19436,11829,0.9999710611954696,8f03e67dde9119bf60895b3f00ef8fc9,11829,high,1.0,False,False,True,,High confidence
7181,18068,0.9999706474603266,1453b76d50f85e4c610272eb288d5043,18068,high,1.0,False,False,True,,High confidence
15732,3129,0.9999705123527322,93a0f1f6255116c087353977b01a8cbe,3129,high,1.0,False,False,True,,High confidence
5784,17160,0.9999704628813983,8817fe4012f65a6c441b1122a943ae57,17160,high,1.0,False,False,True,,High confidence
15192,17361,0.9999704573038628,3ef1239eb0f52bccf15eec755f040aea,17361,high,1.0,False,False,True,,High confidence
14393,11925,0.9999704380889345,a3dc51eb1016f107df1a2fc44a830261,11925,high,1.0,False,False,True,,High confidence
2797,18341,0.9999702738478383,592ef5c2f107018c9fc7f6ca54ef283f,18341,high,1.0,False,False,True,,High confidence
6820,4723,0.9999697868889356,8ee401d1b367013ea9c0d554c079495f,4723,high,1.0,False,False,True,,High confidence
535,2714,0.9999697855888108,370c547f2eba437e571c000e7386c581,2714,high,1.0,False,False,True,,High confidence
6058,2182,0.999969667624127,e58f9922092ef0e4efc3731afd8aecbd,2182,high,1.0,False,False,True,,High confidence
18113,7123,0.9999696144684427,eb2c724497f575ed8363f6d593c0fe95,7123,high,1.0,False,False,True,,High confidence
16766,12278,0.9999694890892998,80a6b8ce7066239a7a855807ba2095b1,12278,high,1.0,False,False,True,,High confidence
17354,4658,0.9999694463510633,c69f28f30efa1dd4e7ce900f8e136998,4658,high,1.0,False,False,True,,High confidence
6018,3493,0.9999693436646502,76c33398380b06f6b58b1b7ff9224749,3493,high,1.0,False,False,True,,High confidence
4567,10613,0.9999693408486843,332aaa4e213c97c6858959e243614ecc,10613,high,1.0,False,False,True,,High confidence
2827,14049,0.9999690272263082,9b20c1f01acc44fe457ae03f5df8b047,14049,high,1.0,False,False,True,,High confidence
